Valium, 13
Hailie, 12
Las Vegas, 9
salsa, 5
Pac, 4
Detroit, 4
Salem, 3
Wanna, 3
Kid Rock, 3
America, 3
Vegas, 3
Rakim, 2
Lakim Shabazz, 2
Asgard, 2
Sweden, 2
Denver, 2
Stan, 2
P.S., 2
Whoops, 2
Compton, 2
King Kong, 2
Vietnam, 2
Bobby Creek, 2
Dynamite, 2
nana, 1
California, 1
T.V., 1
Eminem, 1
sellin, 1
Kanye, 1
Slizzle, 1
Jada, 1
Kurupt, 1
Tampax, 1
Jenna, 1
Xanax, 1
Wally, 1
Haley, 1
Laney, 1
Worcestershire, 1
Ladies, 1
LA, 1
Gangsta, 1
AZ, 1
Trip, 1
Soho, 1
Arizona, 1
Santa, 1
tryina, 1
Miami, 1
Shawty, 1
Homie, 1
Trojan, 1
O.G., 1
Charleston, 1
Benzino, 1
l.a., 1
Kendrick, 1
Kid, 1
Lamar, 1
Birdman, 1
Fifty, 1
Hallie, 1
Boston, 1
Atlanta, 1
gangsta, 1
fuckin, 1
Sin City, 1
B.I.G., 1
Japan, 1
Las Vegas Yo, 1
A.M, 1
Nomonia, 1
Cuevo, 1
Jagger, 1
St. Andrews, 1
don, 1
Flint, 1
Patriots jersey, 1
Lambo, 1
L.A., 1
Brooklyn, 1
Vicadin, 1
vrinnn Vrinnn, 1
Vrinn, 1
Danglin, 1
Bitch, 1
O.J., 1
